playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Contemporary Country,6qc34bnVOyqGDPni8H5W0U,Amazed,['Lonestar'],Lonely Grill,1999-01-01,1999,240866,False,72,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803
The Sound of Contemporary Country,2zhk0kypGeOPsaaZcjyc14,Burning House,['Cam'],Untamed,2015-12-11,2015,231333,False,67,0.728,0.253,0,-8.427,1,0.0304,0.887,1.11e-05,0.133,0.457,140.923
The Sound of Contemporary Country,07pkQLjLQFFukRAYHSgoxX,Where I Come From,['Montgomery Gentry'],Rebels On The Run,2011-10-14,2011,201840,False,69,0.62,0.851,1,-4.203,1,0.0308,0.0105,4.53e-06,0.279,0.478,90.038
The Sound of Contemporary Country,7FpBQ067pHB67deawpbbcY,Body Like A Back Road,['Sam Hunt'],SOUTHSIDE,2020-04-03,2020,162546,False,75,0.736,0.458,5,-7.437,1,0.0316,0.441,0.0,0.148,0.65,98.977
The Sound of Contemporary Country,1WzAeadSKJhqykZFbJNmQv,Your Man,['Josh Turner'],Your Man,2006-01-01,2006,211893,False,76,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511
The Sound of Contemporary Country,7Efs0OIW6zgQyH7ehKZYpN,You're Gonna Miss This,['Trace Adkins'],American Man: Greatest Hits Vol. II,2007-12-04,2007,224960,False,66,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997
The Sound of Contemporary Country,19TKY0KksXTyTGhAImxwQ1,Redneck Yacht Club,['Craig Morgan'],My Kind Of Livin',2005-03-08,2005,230373,False,66,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115
The Sound of Contemporary Country,0FtV0YbnnjD7PXpLHFHPhn,Fancy,['Reba McEntire'],Rumor Has It,1990-01-01,1990,299733,False,68,0.674,0.517,11,-11.225,1,0.0726,0.226,0.0,0.0697,0.482,94.98
The Sound of Contemporary Country,6leiB1fEsTnVCuPiielde5,Something Like That,['Tim McGraw'],A Place In The Sun,1999-05-04,1999,183733,False,75,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
The Sound of Contemporary Country,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,['Lee Ann Womack'],I Hope You Dance,2000-01-01,2000,294533,False,66,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278
