,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
675,4356Typ82hUiFAynbLYbPn,USLF21000041,DJ Got Us Fallin' In Love (feat. Pitbull),"['USHER', 'Pitbull']",Raymond v Raymond (Expanded Edition),2010-03-30,2010,220800,False,84,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963
676,4356Typ82hUiFAynbLYbPn,USLF21000041,DJ Got Us Fallin' In Love (feat. Pitbull),"['USHER', 'Pitbull']",Raymond v Raymond (Expanded Edition),2010-03-30,2010,220800,False,84,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963
677,09ZcYBGFX16X8GMDrvqQwt,GBARL1000776,For the First Time,['The Script'],Science & Faith,2011-01-18,2011,252853,True,66,0.396,0.629,9,-4.78,1,0.0287,0.0328,0.0,0.183,0.358,173.794
678,0gY2iq0xJPRoIB1PScKSw4,USWB11100080,Honey Bee,['Blake Shelton'],Red River Blue (Deluxe Edition),2011-07-11,2011,210720,False,65,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57
679,0ZbmQnOlXM8liVcNVtNxmD,US58E1000238,Don't You Wanna Stay (with Kelly Clarkson),['Jason Aldean'],My Kinda Party,2010-11-02,2010,256440,False,61,0.445,0.631,11,-4.798,1,0.0305,0.129,0.0,0.0911,0.152,143.85
680,6qn9YLKt13AGvpq9jfO8py,USUM71115507,We Found Love,"['Rihanna', 'Calvin Harris']",Talk That Talk,2011-11-18,2011,215226,False,88,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986
681,6qn9YLKt13AGvpq9jfO8py,USUM71115507,We Found Love,"['Rihanna', 'Calvin Harris']",Talk That Talk,2011-11-18,2011,215226,False,88,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986
682,2Adn2LNgkHMH5TelQVAu4n,USUM71025061,Pretty Girl Rock,['Keri Hilson'],No Boys Allowed,2010-01-01,2010,243920,False,65,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014
683,6rkAY9rk1NTFB94QxG3LJR,USUM71106457,Yoü And I,['Lady Gaga'],Born This Way,2011-01-01,2011,307346,False,61,0.518,0.709,2,-5.234,1,0.0476,0.075,0.0,0.0935,0.514,127.083
684,4DvhkX2ic4zWkQeWMwQ2qf,USUM71008138,Like A G6,"['Far East Movement', 'The Cataracs', 'DEV']",Free Wired,2010-01-01,2010,216893,False,73,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913
